Plaintext,Express 100k Rows,Express 200k Rows,Express 300k Rows,Express 400k Rows,Time
2.6398,3.0334,3.3317,3.118,3.1545,0.2
2.6482,3.0618,3.2257,3.0685,3.2178,0.4
2.6489,3.1206,3.1635,3.0018,3.1671,0.6
2.6481,3.1491,3.1342,2.919,3.142,0.8
2.6494,3.1436,3.1068,2.945,3.1139,1
2.6497,3.1112,3.1342,2.9611,3.0874,1.2
2.6511,3.1104,3.1345,2.9846,3.0436,1.4
2.669,3.2154,3.1083,3.0245,3.0154,1.6
2.6621,3.2156,3.0788,3.0637,3.0156,1.8
2.6613,3.2487,3.0761,3.1995,2.9785,2
2.663,3.2491,3.0748,3.2886,2.9677,2.2
2.6637,3.2128,3.0747,3.2734,2.9545,2.4
2.6618,3.2043,3.0455,3.2842,2.9471,2.6
2.6603,3.1958,2.9747,3.274,2.9059,2.8
2.7637,3.1593,2.985,3.2642,2.8663,3
2.8702,3.0334,3.0148,3.2547,2.827,3.2
2.9357,2.9959,3.0438,3.2237,2.7594,3.4
3.0013,2.9256,3.0752,3.1804,2.7032,3.6
3.105,2.904,3.1041,3.1208,2.6913,3.8
3.1705,2.9022,3.133,3.0455,2.6607,4
3.2554,2.9019,3.1594,2.9513,2.6916,4.2
3.3224,2.9013,3.1755,2.8836,2.8637,4.4
3.2274,2.8841,3.1471,2.8168,3.0365,4.6
3.1995,2.8545,3.1202,2.7502,3.3807,4.8
3.1717,2.8246,3.1082,2.706,3.5509,5
3.1058,2.779,3.079,2.6737,3.6827,5.2
3.067,2.7502,3.0128,2.6455,3.7832,5.4
2.9851,2.7501,2.9464,2.7924,3.8199,5.6
2.9482,2.7354,2.8118,2.9639,3.7154,5.8
2.9107,2.7068,2.8806,3.155,3.6101,6
2.873,2.679,3.0114,3.3261,3.5054,6.2
2.8636,2.6801,3.278,3.418,3.4263,6.4
2.8541,2.6814,3.3678,3.484,3.325,6.6
2.8144,2.6824,3.4339,3.5497,3.1727,6.8
2.7861,2.6914,3.5682,3.5332,3.1431,7
2.7831,2.6637,3.5278,3.4336,3.1115,7.2
2.7528,2.6504,3.4235,3.3096,3.1179,7.4
2.7241,2.6511,3.2978,3.1749,3.1187,7.6
2.6959,2.6502,3.1648,3.122,3.1237,7.8
2.6832,2.649,3.1299,3.0699,3.1816,8
2.6544,2.6477,3.1298,3.0071,3.2196,8.2
2.6948,2.683,3.1138,3.0069,3.2548,8.4
2.8297,2.8462,3.1138,3.0019,3.2481,8.6
3.0168,2.9117,3.1313,3.031,3.2204,8.8
3.083,2.9878,3.1314,3.0579,3.2114,9
3.1849,3.0538,3.1347,3.1077,3.1317,9.2
3.2348,3.1211,3.1569,3.1162,3.0934,9.4
3.3006,3.2063,3.139,3.084,3.0572,9.6
3.3275,3.3043,3.1099,3.0717,2.9262,9.8
3.2597,3.1989,3.0965,3.0425,2.8605,10
3.2001,3.171,3.0674,3.0136,2.7976,10.2
3.1647,3.1337,3.0206,2.9844,2.7603,10.4
3.1426,3.1061,2.9925,2.9463,2.7237,10.6
3.0475,3.0872,2.9558,2.9095,2.6874,10.8
2.9841,3.0318,2.8955,2.8737,2.6536,11
2.9476,2.9943,2.8591,2.837,2.6514,11.2
2.9101,2.9189,2.8396,2.784,2.6662,11.4
2.8725,2.9091,2.7649,2.7096,2.6645,11.6
2.8645,2.8702,2.7285,2.6728,2.6597,11.8
2.8391,2.8306,2.6905,2.6477,2.8019,12
2.7957,2.7846,2.6599,2.6478,2.9731,12.2
2.7889,2.7548,2.6583,2.6444,3.3147,12.4
2.7855,2.6985,2.6526,2.6431,3.4874,12.6
2.755,2.6703,2.6524,2.6412,3.6441,12.8
2.7253,2.6422,2.6517,2.8127,3.7574,13
2.6957,2.6438,2.822,2.983,3.8272,13.2
2.6499,2.662,2.9934,3.1541,3.751,13.4
2.6372,2.6821,3.1258,3.3417,3.6458,13.6
2.6355,2.712,3.1947,3.4347,3.5403,13.8
2.7678,2.7405,3.2619,3.502,3.45,14
2.9821,2.7685,3.3161,3.5695,3.3448,14.2
3.0679,2.7968,3.3836,3.6372,3.2127,14.4
3.1364,2.7954,3.451,3.5332,3.1288,14.6
3.2037,2.7926,3.3463,3.4283,3.0505,14.8
3.3378,2.7742,3.2408,3.3234,3.051,15
3.2709,2.7514,3.1926,3.1874,3.0648,15.2
3.2048,2.7775,3.1913,3.1225,3.0513,15.4
3.1995,2.9202,3.1915,3.1054,3.0508,15.6
3.1519,2.9575,3.1919,3.1053,3.1149,15.8
3.1214,3.0161,3.1919,3.1049,3.1247,16
3.0922,3.0833,3.1915,3.1157,3.1352,16.2
3.0474,3.1504,3.1916,3.1155,3.1068,16.4
2.9805,3.2177,3.1625,3.1178,3.0662,16.6
2.9135,3.2851,3.1155,3.1168,3.0376,16.8
2.8463,3.1629,3.0858,3.0876,2.9808,17
2.7703,3.1489,3.0586,3.0596,2.9535,17.2
2.7324,3.1,3.0309,3.0482,2.9154,17.4
2.6962,3.071,3.0122,3.0098,2.9042,17.6
2.6597,3.0385,3.0143,2.9825,2.8813,17.8
2.6878,2.9626,2.9767,2.9307,2.8407,18
2.7542,2.9248,2.9687,2.8537,2.8016,18.2
2.7956,2.9151,2.952,2.7782,2.7633,18.4
2.8341,2.8912,2.9198,2.7217,2.7238,18.6
2.8719,2.8521,2.8802,2.683,2.6838,18.8
2.9081,2.8142,2.8482,2.6434,2.6882,19
2.9445,2.7824,2.7789,2.6396,2.6606,19.2
3.0916,2.7541,2.7494,2.6394,2.6456,19.4
3.1857,2.7269,2.6912,2.6379,2.8118,19.6
3.1907,2.7151,2.6616,2.6377,2.983,19.8
3.2163,2.6876,2.6535,2.6498,3.1565,20
3.2931,2.6595,2.8101,2.6507,3.3281,20.2
3.3533,2.6611,2.9666,2.8237,3.6826,20.4
3.301,2.6587,3.1398,2.9965,3.8231,20.6
3.2268,2.6575,3.2231,3.1691,3.9289,20.8
3.2235,2.6623,3.289,3.3424,3.83,21
3.2041,2.6448,3.3563,3.4488,3.7262,21.2
3.1281,2.6432,3.4238,3.5162,3.6201,21.4
3.1003,2.6419,3.5048,3.5698,3.534,21.6
3.0374,2.6418,3.3098,3.6364,3.4125,21.8
2.9884,2.6401,3.2039,3.5304,3.2815,22
2.9223,2.6422,3.1881,3.4245,3.1707,22.2
2.8523,2.7648,3.1588,3.3201,3.0925,22.4
2.7841,2.9362,3.0741,3.209,3.1103,22.6
2.7365,3.005,3.0785,3.1445,3.1103,22.8
2.6971,3.0747,3.0783,3.1474,3.1103,23
2.6577,3.1418,3.0783,3.1476,3.0922,23.2
2.6533,3.209,3.0783,3.1474,3.0923,23.4
2.6521,3.292,3.0783,3.1496,3.1362,23.6
2.6518,3.3582,3.0794,3.1677,3.1448,23.8
2.6573,3.2667,3.1074,3.1554,3.0977,24
2.6616,3.1331,3.049,3.1326,3.0685,24.2
2.6673,3.1316,3.0215,3.1303,3.0393,24.4
2.6824,3.1292,2.9937,3.0994,3.0101,24.6
2.6755,3.0946,2.9632,3.0722,2.9808,24.8
2.8131,3.0571,2.9531,3.0453,2.8934,25
2.8863,3.0019,2.9133,3.0152,2.8555,25.2
2.9538,2.9643,2.8686,2.931,2.8368,25.4
3.0174,2.9557,2.8293,2.8753,2.7625,25.6
3.0902,2.9321,2.7894,2.836,2.7275,25.8
3.1518,2.918,2.7499,2.7965,2.6913,26
3.2036,2.9028,2.7117,2.7573,2.6657,26.2
3.2595,2.9102,2.6486,2.7233,2.6675,26.4
3.1882,2.9208,2.6655,2.6827,2.6693,26.6
3.153,2.9293,2.6568,2.6434,2.6513,26.8
3.1236,2.9383,2.6579,2.6422,2.6508,27
3.0546,2.9475,2.659,2.644,2.6747,27.2
3.017,2.989,2.8192,2.6451,2.8431,27.4
2.9795,2.9903,3.1644,2.663,3.0135,27.6
2.9424,2.9674,3.3369,2.9544,3.184,27.8
2.906,2.9567,3.3951,3.1266,3.3596,28
2.8981,2.9456,3.461,3.299,3.5122,28.2
2.9068,2.9371,3.5273,3.6417,3.6062,28.4
2.8811,2.8986,3.5934,3.7554,3.6741,28.6
2.8899,2.822,3.5174,3.8227,3.7161,28.8
2.8902,2.7752,3.4306,3.7748,3.6125,29
2.8606,2.749,3.3555,3.5831,3.5259,29.2
2.8305,2.8843,3.2585,3.4865,3.4215,29.4
2.8008,3.0026,3.2596,3.3907,3.292,29.6
2.7708,3.0471,3.2459,3.2951,3.1735,29.8
2.7241,3.1911,3.2158,3.2421,3.1083,30
2.6939,3.2584,3.1861,3.2028,3.0707,30.2
2.7879,3.3182,3.1482,3.2271,3.0713,30.4
2.8663,3.3824,3.0966,3.2181,3.0707,30.6
2.9351,3.2853,3.0275,3.2087,3.0526,30.8
3.0087,3.2048,2.9806,3.201,3.0524,31
3.0894,3.2066,2.9334,3.1919,3.1029,31.2
3.1567,3.1954,2.9046,3.1909,3.1109,31.4
3.224,3.1803,2.8673,3.1637,3.119,31.6
3.2345,3.1428,2.8297,3.1007,3.1046,31.8
3.1933,3.1047,2.7591,3.0715,3.0769,32
3.1801,3.0669,2.7296,3.014,3.0501,32.2
3.1445,3.0289,2.7289,2.9848,3.0224,32.4
3.1018,2.9913,2.7295,2.9354,2.9844,32.6
3.0171,2.917,2.734,2.8973,2.9186,32.8
2.9498,2.8514,2.7796,2.855,2.8896,33
2.8826,2.7849,2.8049,2.8187,2.8538,33.2
2.8155,2.7567,2.7958,2.7817,2.7623,33.4
2.76,2.7284,2.7971,2.7056,2.7218,33.6
2.6864,2.7166,2.7986,2.6691,2.6821,33.8
2.648,2.6872,2.7704,2.6552,2.702,34
2.6401,2.6584,2.7418,2.6576,2.796,34.2
2.6419,2.6573,2.7146,2.6572,2.837,34.4
2.6433,2.6555,2.8399,2.657,2.876,34.6
2.6516,2.6538,2.9872,2.6569,2.9115,34.8
2.6516,2.6524,3.1496,2.6622,3.0908,35
2.6523,2.6513,3.2215,2.8495,3.4044,35.2
2.6519,2.6336,3.287,3.0082,3.5305,35.4
2.6495,2.6354,3.3599,3.1773,3.6839,35.6
2.7431,2.6365,3.4258,3.3492,3.8138,35.8
2.8895,2.6378,3.4907,3.4402,3.8876,36
2.9557,2.6392,3.3577,3.5069,3.8346,36.2
3.0151,2.8177,3.2251,3.5741,3.6075,36.4
3.1321,2.9221,3.101,3.6347,3.4925,36.6
3.1978,3.0141,3.0849,3.5137,3.3694,36.8
3.2639,3.08,3.0579,3.3054,3.2213,37
3.3311,3.1456,3.0512,3.1732,3.1776,37.2
3.3029,3.2116,3.0511,3.1216,3.1104,37.4
3.1973,3.3615,3.0514,3.0838,3.0425,37.6
3.1692,3.2501,3.1083,3.0713,2.9746,37.8
3.0901,3.213,3.1243,3.0709,2.9743,38
3.0327,3.1883,3.1052,3.0703,2.9633,38.2
2.9678,3.1602,3.1029,3.0703,2.96,38.4
2.9184,3.1313,3.0735,3.0701,2.9599,38.6
2.8514,3.0997,3.0161,3.0976,2.9746,38.8
2.7439,3.0228,2.9867,3.1133,3.0136,39
2.7044,2.9851,2.9575,3.0965,3.0529,39.2
2.657,2.9473,2.9323,3.0406,3.1095,39.4
2.6549,2.9094,2.8956,3.0128,3.0825,39.6
2.6555,2.8714,2.8594,2.9851,3.0533,39.8
2.6554,2.8346,2.7839,2.9548,3.024,40
2.6559,2.8143,2.7476,2.9479,2.9484,40.2
2.6567,2.769,2.711,2.9115,2.9099,40.4
