sensor ID,norm_secs (secs),time (days)
5.000000000000000000e+00,2.349633992085277896e+03,3.942399327793964767e+04
5.000000000000000000e+00,2.745639721088414717e+03,3.942409368981147418e+04
5.000000000000000000e+00,2.748939768830107369e+03,3.942409372800646815e+04
5.000000000000000000e+00,2.752239816571800020e+03,3.942409376620146213e+04
5.000000000000000000e+00,2.755539864313493126e+03,3.942409380439646338e+04
5.000000000000000000e+00,2.758839912055185778e+03,3.942409384259145736e+04
5.000000000000000000e+00,6.052287558264606560e+03,3.942613061443922925e+04
5.000000000000000000e+00,6.131488704065233833e+03,3.942613153111915744e+04
5.000000000000000000e+00,6.134788751806926484e+03,3.942613156931415870e+04
5.000000000000000000e+00,6.138088799548619136e+03,3.942613160750915267e+04
5.000000000000000000e+00,6.141388847290311787e+03,3.942613164570414665e+04
5.000000000000000000e+00,6.227190088574325273e+03,3.942613263877407007e+04
5.000000000000000000e+00,6.230490136316017924e+03,3.942613267696907133e+04
5.000000000000000000e+00,6.233790184057710576e+03,3.942613271516406530e+04
5.000000000000000000e+00,6.237090231799403227e+03,3.942613275335906656e+04
5.000000000000000000e+00,6.240390279541095879e+03,3.942613279155406053e+04
5.000000000000000000e+00,6.243690327282788530e+03,3.942613282974905451e+04
5.000000000000000000e+00,6.246990375024482091e+03,3.942613286794405576e+04
5.000000000000000000e+00,6.646296151769311109e+03,3.942621609669661848e+04
5.000000000000000000e+00,6.649596199511003761e+03,3.942621615920325712e+04
5.000000000000000000e+00,6.652896247252697322e+03,3.942621622170989576e+04
5.000000000000000000e+00,6.656196294994389973e+03,3.942621628421653440e+04
5.000000000000000000e+00,8.893628663862111353e+03,3.942867404703628563e+04
5.000000000000000000e+00,8.896928711603804913e+03,3.942868319823757338e+04
5.000000000000000000e+00,8.900228759345498474e+03,3.942869234943885385e+04
5.000000000000000000e+00,8.903528807087190216e+03,3.942870150064014160e+04
5.000000000000000000e+00,8.906828854828883777e+03,3.942871065184142208e+04
5.000000000000000000e+00,8.910128902570575519e+03,3.942871980304270983e+04
5.000000000000000000e+00,8.913428950312269080e+03,3.942872895424399030e+04
