sensor ID,norm_secs (secs),time (days)
5.100000000000000000e+01,1.620769242709502578e+02,3.985810196848292253e+04
5.100000000000000000e+01,1.653846166030104712e+02,3.985810200676639943e+04
5.000000000000000000e+00,1.753076935991911114e+02,3.985810212161683012e+04
5.000000000000000000e+00,1.786153859312512964e+02,3.985810215990030702e+04
5.000000000000000000e+00,1.402461548793528891e+03,3.985812066506414703e+04
5.000000000000000000e+00,1.405769241125588906e+03,3.985812070334761665e+04
5.000000000000000000e+00,1.409076933457649147e+03,3.985812074163109355e+04
5.000000000000000000e+00,1.412384625789709389e+03,3.985812077991457045e+04
5.100000000000000000e+01,1.428923087450010371e+03,3.985812097133195493e+04
5.100000000000000000e+01,1.432230779782070613e+03,3.985812100961543183e+04
